demo_id,n_rounds,rounds_plausible,players_per_round_mode,all_rounds_10_players,both_sides_every_round,tick_coverage_median,score_T_wins,score_CT_wins,pass
blast-tv-austin-major-2025__final__vitality-vs-the-mongolz-m1-mirage,18,True,10,True,True,1.0107446275756558,7,11,True
blast-tv-austin-major-2025__final__vitality-vs-the-mongolz-m2-dust2,17,True,10,True,True,1.0085808580858087,7,10,True
blast-tv-austin-major-2025__final__vitality-vs-the-mongolz-m3-inferno,19,True,10,True,True,1.0092216894135007,7,12,True
blast-tv-austin-major-2025__quarter-final-with-mongoiz__faze-vs-the-mongolz-m1-mirage,22,True,10,True,True,1.009059042711009,9,13,True
blast-tv-austin-major-2025__quarter-final-with-mongoiz__faze-vs-the-mongolz-m2-anubis,24,True,10,True,True,1.0068807701412452,9,15,True
blast-tv-austin-major-2025__semi-final-1__pain-vs-the-mongolz-m1-mirage,18,True,10,True,True,1.009418883615573,7,11,True
blast-tv-austin-major-2025__semi-final-1__pain-vs-the-mongolz-m2-anubis,18,True,10,True,True,1.0075519412416236,11,7,True
blast-tv-austin-major-2025__semi-final-2__mouz-vs-vitality-m1-mirage,21,True,10,True,True,1.0085321260665157,9,12,True
blast-tv-austin-major-2025__semi-final-2__mouz-vs-vitality-m2-inferno,17,True,10,True,True,1.0085728693898135,3,14,True
blast-tv-austin-major-2025__semi-final-2__mouz-vs-vitality-m3-train,19,True,10,True,True,1.008707767328457,5,14,True
esl-pro-league-s20-2024__final__eternal-fire-vs-natus-vincere-m1-nuke,21,True,10,True,True,1.0092470277410832,11,10,True
esl-pro-league-s20-2024__final__eternal-fire-vs-natus-vincere-m2-anubis,24,True,10,True,True,1.0065877989090821,13,11,True
esl-pro-league-s20-2024__final__eternal-fire-vs-natus-vincere-m3-ancient,24,True,10,True,True,1.0093104067128613,13,11,True
esl-pro-league-s20-2024__final__eternal-fire-vs-natus-vincere-m4-inferno,17,True,10,True,True,1.0061349693251533,8,9,True
esl-pro-league-s20-2024__final__eternal-fire-vs-natus-vincere-m5-dust2,23,True,10,True,True,1.0092470277410832,12,11,True
esl-pro-league-s20-2024__semi-final__natus-vincere-vs-g2-m1-inferno,21,True,10,True,True,1.0063965884861408,13,8,True
esl-pro-league-s20-2024__semi-final__natus-vincere-vs-g2-m2-nuke,24,True,10,True,True,1.007794668085006,7,17,True
esl-pro-league-s20-2024__semi-final__natus-vincere-vs-g2-m3-ancient,19,True,10,True,True,1.0076180802437786,11,8,True
esl-pro-league-s21-2025__final__mouz-vs-vitality-m1-dust2,22,True,10,True,True,1.007831271041323,15,7,True
esl-pro-league-s21-2025__final__mouz-vs-vitality-m2-nuke,17,True,10,True,True,1.0084243369734789,7,10,True
esl-pro-league-s21-2025__final__mouz-vs-vitality-m3-inferno,18,True,10,True,True,1.0077459751083717,11,7,True
esl-pro-league-s21-2025__semi-final__vitality-vs-the-mongolz-m1-anubis,17,True,10,True,True,1.0097932535364527,10,7,True
esl-pro-league-s21-2025__semi-final__vitality-vs-the-mongolz-m2-nuke,30,True,10,True,True,1.0077692229814652,9,21,True
esl-pro-league-s21-2025__semi-final__vitality-vs-the-mongolz-m3-inferno,15,True,10,True,True,1.009399394615262,10,5,True
iem-chengdu-2025__final__vitality-vs-furia-m1-ancient,24,True,10,True,True,1.0087540214263992,15,9,True
iem-chengdu-2025__final__vitality-vs-furia-m2-inferno,23,True,10,True,True,1.0076548364648574,15,8,True
iem-chengdu-2025__final__vitality-vs-furia-m3-overpass,24,True,10,True,True,1.0070318900480948,7,17,True
iem-cologne-2024__final__vitality-vs-natus-vincere-m1-nuke,30,True,10,True,True,1.0088743938917366,9,21,True
iem-cologne-2024__final__vitality-vs-natus-vincere-m2-dust2,23,True,10,True,True,1.0073782587309394,12,11,True
iem-cologne-2024__final__vitality-vs-natus-vincere-m3-mirage,42,False,10,True,True,1.0081865297332695,19,23,False
iem-cologne-2024__final__vitality-vs-natus-vincere-m4-inferno,22,True,10,True,True,1.007197947042082,17,5,True
iem-cologne-2024__semi-final-1__natus-vincere-vs-mouz-m1-inferno,30,True,10,True,True,1.0073783380911308,7,23,True
iem-cologne-2024__semi-final-1__natus-vincere-vs-mouz-m2-mirage,24,True,10,True,True,1.007428867084651,7,17,True
iem-cologne-2024__semi-final-2__vitality-vs-saw-m1-nuke,19,True,10,True,True,1.0088604986606222,11,8,True
iem-cologne-2024__semi-final-2__vitality-vs-saw-m2-dust2,18,True,10,True,True,1.007912391608051,13,5,True
iem-cologne-2025__final__spirit-vs-mouz-m1-mirage,20,True,10,True,True,1.0078153292841625,5,15,True
iem-cologne-2025__final__spirit-vs-mouz-m3-nuke,19,True,10,True,True,1.0094223678820156,9,10,True
iem-cologne-2025__semi-final__vitality-vs-mouz-m2-train,21,True,10,True,True,1.0078025251808767,11,10,True
iem-katowice-2025__final__vitality-vs-spirit-m1-dust2,19,True,10,True,True,1.008372659461105,11,8,True
iem-katowice-2025__final__vitality-vs-spirit-m2-nuke,18,True,10,True,True,1.0071060942922285,9,9,True
iem-katowice-2025__final__vitality-vs-spirit-m3-mirage,24,True,10,True,True,1.0093189692652815,9,15,True
iem-katowice-2025__play-in__big-vs-heroic-m1-nuke,15,True,10,True,True,1.0100665415458112,3,12,True
iem-katowice-2025__play-in__big-vs-heroic-m2-ancient,17,True,10,True,True,1.0132880972575629,16,1,True
iem-katowice-2025__semi-final__natus-vincere-vs-spirit-m1-mirage,21,True,10,True,True,1.0078740157480315,9,12,True
iem-katowice-2025__semi-final__natus-vincere-vs-spirit-m2-dust2,30,True,10,True,True,1.0073275432276474,15,15,True
perfect-world-shanghai-major-2024__final__spirit-vs-faze-m1-nuke,21,True,10,True,True,1.0079673892903465,11,10,True
perfect-world-shanghai-major-2024__final__spirit-vs-faze-m2-ancient,19,True,10,True,True,1.008635578583765,9,10,True
perfect-world-shanghai-major-2024__final__spirit-vs-faze-m3-dust2,24,True,10,True,True,1.007162001408283,9,15,True
perfect-world-shanghai-major-2024__quarter-final-with-mongoiz__the-mongolz-vs-mouz-m1-ancient,30,True,10,True,True,1.0093472458141228,19,11,True
perfect-world-shanghai-major-2024__quarter-final-with-mongoiz__the-mongolz-vs-mouz-m2-nuke,22,True,10,True,True,1.0084753390654426,7,15,True
perfect-world-shanghai-major-2024__semi-final-1__g2-vs-faze-m1-ancient,19,True,10,True,True,1.007081038552321,14,5,True
perfect-world-shanghai-major-2024__semi-final-1__g2-vs-faze-m2-nuke,30,True,10,True,True,1.008713440399173,11,19,True
perfect-world-shanghai-major-2024__semi-final-2__mouz-vs-spirit-m1-nuke,20,True,10,True,True,1.0084349826478098,11,9,True
perfect-world-shanghai-major-2024__semi-final-2__mouz-vs-spirit-m2-ancient,17,True,10,True,True,1.0082644628099173,10,7,True
perfect-world-shanghai-major-2024__semi-final-2__mouz-vs-spirit-m3-mirage,20,True,10,True,True,1.0087584869348718,13,7,True
pgl-major-copenhagen-2024__final__faze-vs-natus-vincere-m1-ancient,22,True,10,True,True,1.0089383000398635,11,11,True
pgl-major-copenhagen-2024__final__faze-vs-natus-vincere-m2-mirage,15,True,10,True,True,1.0083601286173633,5,10,True
pgl-major-copenhagen-2024__final__faze-vs-natus-vincere-m3-inferno,16,True,10,True,True,1.0079757452563665,7,9,True
pgl-major-copenhagen-2024__play-offs-with-spirit__spirit-vs-faze-m1-mirage,20,True,10,True,True,1.0082340169107216,9,11,True
pgl-major-copenhagen-2024__play-offs-with-spirit__spirit-vs-faze-m2-nuke,35,True,10,True,True,1.0093045260999842,17,18,True
pgl-major-copenhagen-2024__play-offs-with-spirit__spirit-vs-faze-m3-vertigo,30,True,10,True,True,1.007809070200323,11,19,True
pgl-major-copenhagen-2024__semi-final-1__natus-vincere-vs-g2-m1-anubis,29,True,10,True,True,1.0069670227589411,17,12,True
pgl-major-copenhagen-2024__semi-final-1__natus-vincere-vs-g2-m2-nuke,20,True,10,True,True,1.0078874254369596,7,13,True
pgl-major-copenhagen-2024__semi-final-1__natus-vincere-vs-g2-m3-ancient,24,True,10,True,True,1.0081719219363072,9,15,True
pgl-major-copenhagen-2024__semi-final-2__vitality-vs-faze-m1-nuke,20,True,10,True,True,1.009423179943963,13,7,True
pgl-major-copenhagen-2024__semi-final-2__vitality-vs-faze-m2-vertigo,18,True,10,True,True,1.0086495634943722,15,3,True
pgl-major-copenhagen-2024__semi-final-2__vitality-vs-faze-m3-inferno,21,True,10,True,True,1.0070989115002367,10,11,True
starladder-budapest-major-2025__final__vitality-vs-faze-m1-nuke,19,True,10,True,True,1.0079066753078418,10,9,True
starladder-budapest-major-2025__final__vitality-vs-faze-m2-dust2,16,True,10,True,True,1.0092983664166382,9,7,True
starladder-budapest-major-2025__final__vitality-vs-faze-m3-inferno,22,True,10,True,True,1.0069515874056842,9,13,True
starladder-budapest-major-2025__final__vitality-vs-faze-m4-overpass,15,True,10,True,True,1.0075675675675675,12,3,True
starladder-budapest-major-2025__semi-final-1__faze-vs-natus-vincere-m1-ancient,18,True,10,True,True,1.0103502319894626,13,5,True
starladder-budapest-major-2025__semi-final-1__faze-vs-natus-vincere-m2-nuke,24,True,10,True,True,1.0072671931651325,7,17,True
starladder-budapest-major-2025__semi-final-1__faze-vs-natus-vincere-m3-inferno,21,True,10,True,True,1.0081116770420675,7,14,True
starladder-budapest-major-2025__semi-final-2__spirit-vs-vitality-m1-mirage,36,True,10,True,True,1.0079533884063832,15,21,True
starladder-budapest-major-2025__semi-final-2__spirit-vs-vitality-m2-dust2,21,True,10,True,True,1.0077590141487904,13,8,True
