run_i,run_j,ari
0,1,0.5334214329272643
0,2,0.48494325443819253
0,3,0.5967536101465006
0,4,0.6238288174361878
0,5,0.5758115645777347
0,6,0.5734925396584595
0,7,0.5615100162959005
1,2,0.5424285879238325
1,3,0.5547271843593655
1,4,0.5748801374923543
1,5,0.542031742231911
1,6,0.580970345935557
1,7,0.5789898464622746
2,3,0.48082173638616615
2,4,0.5050985086706046
2,5,0.49006452951064006
2,6,0.543608348474827
2,7,0.5289107276492444
3,4,0.599008083752558
3,5,0.5419974694994613
3,6,0.5733544326418942
3,7,0.5802034842138845
4,5,0.5615358265340399
4,6,0.6131526078426388
4,7,0.588774671755675
5,6,0.5920390912616709
5,7,0.5694684281396016
6,7,0.6167526763253269
