run_i,run_j,ari
0,1,0.3806637018897143
0,2,0.564588351190207
0,3,0.4131554382845533
0,4,0.3919907087543851
0,5,0.5660322500636804
0,6,0.3684539031297439
0,7,0.36283709454054747
1,2,0.36396544482712123
1,3,0.5865650710239743
1,4,0.581345459214058
1,5,0.34399847053999416
1,6,0.5639892428305834
1,7,0.5971183622235096
2,3,0.41205630532537946
2,4,0.37813498351721525
2,5,0.6141250270026145
2,6,0.34623985929710077
2,7,0.35399538110035045
3,4,0.606287293922545
3,5,0.3905633950995986
3,6,0.5821121355421087
3,7,0.5952764645033113
4,5,0.3680758107819178
4,6,0.5583541333887834
4,7,0.5864284435069065
5,6,0.3655818106839789
5,7,0.3663341261329334
6,7,0.5840471902678062
