demo_id,filename,event,date,team1,team2,map_name,status,notes
blast-tv-austin-major-2025__final__vitality-vs-the-mongolz-m1-mirage,blast-tv-austin-major-2025__final__vitality-vs-the-mongolz-m1-mirage.dem,blast tv austin major 2025 | final,,vitality,the mongolz,mirage,featured,18 rounds
blast-tv-austin-major-2025__final__vitality-vs-the-mongolz-m2-dust2,blast-tv-austin-major-2025__final__vitality-vs-the-mongolz-m2-dust2.dem,blast tv austin major 2025 | final,,vitality,the mongolz,dust2,featured,17 rounds
blast-tv-austin-major-2025__final__vitality-vs-the-mongolz-m3-inferno,blast-tv-austin-major-2025__final__vitality-vs-the-mongolz-m3-inferno.dem,blast tv austin major 2025 | final,,vitality,the mongolz,inferno,featured,19 rounds
blast-tv-austin-major-2025__quarter-final-with-mongoiz__faze-vs-the-mongolz-m1-mirage,blast-tv-austin-major-2025__quarter-final-with-mongoiz__faze-vs-the-mongolz-m1-mirage.dem,blast tv austin major 2025 | quarter final with mongoiz,,faze,the mongolz,mirage,featured,22 rounds
blast-tv-austin-major-2025__quarter-final-with-mongoiz__faze-vs-the-mongolz-m2-anubis,blast-tv-austin-major-2025__quarter-final-with-mongoiz__faze-vs-the-mongolz-m2-anubis.dem,blast tv austin major 2025 | quarter final with mongoiz,,faze,the mongolz,anubis,featured,24 rounds
blast-tv-austin-major-2025__semi-final-1__pain-vs-the-mongolz-m1-mirage,blast-tv-austin-major-2025__semi-final-1__pain-vs-the-mongolz-m1-mirage.dem,blast tv austin major 2025 | semi final 1,,pain,the mongolz,mirage,featured,18 rounds
blast-tv-austin-major-2025__semi-final-1__pain-vs-the-mongolz-m2-anubis,blast-tv-austin-major-2025__semi-final-1__pain-vs-the-mongolz-m2-anubis.dem,blast tv austin major 2025 | semi final 1,,pain,the mongolz,anubis,featured,18 rounds
blast-tv-austin-major-2025__semi-final-2__mouz-vs-vitality-m1-mirage,blast-tv-austin-major-2025__semi-final-2__mouz-vs-vitality-m1-mirage.dem,blast tv austin major 2025 | semi final 2,,mouz,vitality,mirage,featured,21 rounds
blast-tv-austin-major-2025__semi-final-2__mouz-vs-vitality-m2-inferno,blast-tv-austin-major-2025__semi-final-2__mouz-vs-vitality-m2-inferno.dem,blast tv austin major 2025 | semi final 2,,mouz,vitality,inferno,featured,17 rounds
blast-tv-austin-major-2025__semi-final-2__mouz-vs-vitality-m3-train,blast-tv-austin-major-2025__semi-final-2__mouz-vs-vitality-m3-train.dem,blast tv austin major 2025 | semi final 2,,mouz,vitality,train,featured,19 rounds
esl-pro-league-s20-2024__final__eternal-fire-vs-natus-vincere-m1-nuke,esl-pro-league-s20-2024__final__eternal-fire-vs-natus-vincere-m1-nuke.dem,esl pro league s20 2024 | final,,eternal fire,natus vincere,nuke,featured,21 rounds
esl-pro-league-s20-2024__final__eternal-fire-vs-natus-vincere-m2-anubis,esl-pro-league-s20-2024__final__eternal-fire-vs-natus-vincere-m2-anubis.dem,esl pro league s20 2024 | final,,eternal fire,natus vincere,anubis,featured,24 rounds
esl-pro-league-s20-2024__final__eternal-fire-vs-natus-vincere-m3-ancient,esl-pro-league-s20-2024__final__eternal-fire-vs-natus-vincere-m3-ancient.dem,esl pro league s20 2024 | final,,eternal fire,natus vincere,ancient,featured,24 rounds
esl-pro-league-s20-2024__final__eternal-fire-vs-natus-vincere-m4-inferno,esl-pro-league-s20-2024__final__eternal-fire-vs-natus-vincere-m4-inferno.dem,esl pro league s20 2024 | final,,eternal fire,natus vincere,inferno,featured,17 rounds
esl-pro-league-s20-2024__final__eternal-fire-vs-natus-vincere-m5-dust2,esl-pro-league-s20-2024__final__eternal-fire-vs-natus-vincere-m5-dust2.dem,esl pro league s20 2024 | final,,eternal fire,natus vincere,dust2,featured,23 rounds
esl-pro-league-s20-2024__semi-final__natus-vincere-vs-g2-m1-inferno,esl-pro-league-s20-2024__semi-final__natus-vincere-vs-g2-m1-inferno.dem,esl pro league s20 2024 | semi final,,natus vincere,g2,inferno,featured,21 rounds
