,role_0,role_1,role_2,role_3,role_4
dist_nearest_teammate,0.6332919434207211,0.26004642390794475,-0.12104982659332587,-0.35591741040978875,-0.46567850103464925
dist_team_centroid,0.7967697044089935,0.12548834890216407,-0.3071410033716385,-0.32658219069798045,-0.3785347956033705
distance_traveled,0.08140335906904136,0.07174961257195327,0.6328944945595117,-0.12822424779104166,-0.9415338123827037
forward_disp_20s,0.3025300232849085,-0.4965133826925739,-0.17797940118120728,-0.0015536984423617528,0.13327532275026144
zone_entropy,-0.467914898073054,-0.007598194081114419,0.4973401137593421,0.1567455718023935,-0.24383251726970706
site_time_share,0.5226023280541422,-0.21447972753277836,-0.1206873406402461,-0.11715477228615283,-0.30164743633067437
time_to_first_contact_s,0.38014261104452224,0.1964408432252662,0.005902534143065022,0.025391511797000284,-0.7041483989277668
opening_duel_involved,-0.32779383429673714,-0.02718006795017093,-0.24226804123712278,-0.32703488372094286,1.2328956461645257
flashes_thrown,0.09246323960476381,0.17603010603150007,0.4396263383481321,-0.5642684634487033,-0.21769807736589397
smokes_thrown,0.426413113457796,-0.07358087184015931,0.3884760713174943,-0.7684356568503367,-0.2263720249567921
mollies_thrown,0.2501271703178083,-0.017950489099775094,0.5374694163720874,-0.8780554907111409,-0.09683345834107832
he_thrown,0.12726112416635532,-0.0925509315174806,0.6353631256274742,-0.784232022778362,-0.1309312039735079
util_early_share,0.3047325478413787,-0.176727511866227,0.24024568316758482,-0.9931616185340603,0.496875825610321
awp_share,-0.3430606712761959,2.736811706802714,-0.3364418170927346,-0.3124290786287968,-0.31034273021422837
rifle_share,0.3902338733514026,-1.0860995549938437,0.6774615907214145,-0.7036364467820415,-0.05981199734093592
shots_fired,-0.09588710332587863,-0.7026223319691766,0.7299164467964502,-0.23918838627260625,-0.225819300235961
trade_presence,-0.30974370161518155,-0.0041245166216006095,0.24499160045611193,0.39199639701504396,-0.380356603669128
time_alive_share,0.25054805624645293,0.3090854790085197,0.44576764764792565,0.1118793283914007,-1.3384663770877954
buy_value_rel_team,-0.1470200113479318,1.101550609629502,-0.0892400229415259,-0.26300850819914495,-0.017030270687490218
