,role_0,role_1,role_2,role_3
dist_nearest_teammate,-0.46682207464804715,0.058821748685024614,-0.030967381530494796,1.8858131042058275
dist_team_centroid,-0.38972738963103226,-0.0199664751675667,-0.07788603131020097,1.8029751038438664
distance_traveled,-0.6451730846382394,0.2808337505030404,0.6236007141835443,0.06928804873786061
forward_disp_20s,0.18687073717535943,-0.5019388049989595,-0.13008550257326465,0.036044430195360716
zone_entropy,-0.2828418134473359,0.10824914472626194,0.36724041221174564,-0.30242962984624355
site_time_share,-0.28999220179190294,-0.10250678213147675,0.42595122661592283,-0.36804291674150574
time_to_first_contact_s,-0.36178271627601066,0.26117069428944906,0.24661341119365077,0.35451358104186276
opening_duel_involved,0.3275666831675035,-0.12537441507744185,-0.26147519807369834,-0.24549352336800834
flashes_thrown,-0.45241715471274296,0.5063855791269062,0.43875608175000197,-0.13323601228498833
smokes_thrown,-0.4083111745621269,0.006046680426508083,0.4313299761383499,0.008420701785332482
mollies_thrown,-0.4639027113438847,-0.07480606110148913,0.5020777820717105,0.012433312296203142
he_thrown,-0.24402488391382182,-0.3293919397147572,0.29339055978979656,0.06547329177143113
util_early_share,-0.0006622827902520891,-0.22607586705729849,-0.006164859769677296,0.1539180834811733
awp_share,-0.24157012983377807,3.5774953472380524,-0.2355909243001184,-0.2487249664097702
rifle_share,-0.38959488526659686,-1.1728791838780324,0.4711961268494532,0.4633950534030896
shots_fired,-0.31004467924337914,-0.6836342458646203,0.5025683930398602,-0.23759920732964612
trade_presence,-0.04758350181412235,0.14366462960848883,0.17860308300492161,-0.547220275868959
time_alive_share,-0.5850205861616472,0.36878040025950587,0.5220006429072198,0.1557641201611507
buy_value_rel_team,-0.11509255334075955,1.4934524691025184,-0.0692622136917585,-0.15445845438683858
